target_id,num_sources,source_ids,total_amount,tx_count
0_801DC98B0,6,"['1818_801DCB710', '24830_801DC9CB0', '4687_801DCAAB0', '11_801DC9A40', '24555_801DC9950', '1831_801DCAD20']",14833.1,6
0_801E554E0,6,"['2954_801E56470', '1046_801E558E0', '0_801E55C30', '0_801E554E0', '0_801E55980', '24528_801E55930']",6855944.68,7
0_8029437F0,6,"['24583_801D412C0', '1601_80228E390', '35774_8029437A0', '57138_80E3F13B0', '249383_82E4B3390', '0_8029437F0']",2417704.8100000005,52
0_8031F1ED0,6,"['70_100428660', '23602_802936080', '25994_8056A1440', '129211_8369CB470', '12696_8056A9D50', '0_8031F1ED0']",889525755.0399998,43
0_80033CE60,5,"['20_800070AC0', '1208_80022E850', '718_800B81F40', '27512_80610E650', '0_80033CE60']",38780.249999999985,42
0_8003C3AB0,5,"['1208_8003A6CE0', '214_8003C35B0', '214_8003C38D0', '0_8003C3510', '0_8003C36A0']",1650799.66,8
0_8004A7AF0,5,"['180343_846E220E0', '70_100428660', '11_8002FF0F0', '2114678_846E21E60', '0_8004A7AF0']",59013.71000000001,40
0_8004AF540,5,"['0_800359A10', '80894_82D8E6DA0', '11_80045E0B0', '2117346_841320AF0', '0_8004AF540']",574994.47,52
0_800965570,5,"['1922_800964EA0', '31391_800965080', '718_800965660', '112599_81410D4D0', '0_800965570']",18561.64,7
0_800B29860,5,"['1208_8004E1C10', '164028_84ADF03D0', '1601_800437D60', '24842_803034A00', '0_800B29860']",298817.12,56
0_800B91E30,5,"['0_80049DFD0', '20_8007E5490', '31393_800B924E0', '3734_800B92C40', '0_800B91E30']",6480272.32,46
0_800C33FF0,5,"['0_800C33FF0', '213895_811C16720', '243187_811C16850', '12582_811C14C80', '20_80018BD20']",39344.25,6
0_800C5E880,5,"['11_80035EA80', '214_800260400', '236668_845035270', '11032_8018A8F40', '0_800C5E880']",21110502.92,19
0_800EA4FC0,5,"['867_800EA5060', '544_800EA53D0', '3938_800EA5010', '20_800EA5600', '0_800EA4FC0']",220420.28,8
0_80185BD70,5,"['218354_80CC6AC60', '27453_82B53ACA0', '29196_810E554A0', '32512_80E9F1640', '0_80185BD70']",752665.56,34
0_801BA8680,5,"['2776_800F3B4E0', '279382_8231203A0', '1601_801A4F580', '718_805593160', '0_801BA8680']",1784131.7000000002,32
0_801C088A0,5,"['13843_800E6D190', '0_801A2FEC0', '33921_801C088F0', '37523_8178831F0', '0_801C088A0']",554809.25,35
0_802316850,5,"['1818_8005D4390', '233675_813E26DD0', '5763_8022D8C00', '66226_818C8E9D0', '0_802316850']",16947656.349999998,55
0_8025E44A0,5,"['867_80123C020', '70_100428660', '220845_848566840', '111077_804167F70', '0_8025E44A0']",444063.78000000014,31
0_8026854D0,5,"['20_8018CD990', '2597_8021C0210', '111736_839BD9650', '2107264_83DCF8780', '0_8026854D0']",268547.67,82
0_8027DA4C0,5,"['20_800782BC0', '35096_8027DA510', '13688_8022B1920', '123117_8111A0D80', '0_8027DA4C0']",61723.85000000002,32
0_8028CC440,5,"['11304_800969C40', '31674_8028CDA30', '12696_80221F7B0', '70421_827796F20', '0_8028CC440']",162035893.74,75
0_802E587D0,5,"['867_801213FD0', '7818_802E58690', '20_800322F10', '24833_802E586E0', '0_802E587D0']",169185.71999999997,22
0_803020330,5,"['1313_80207A9F0', '35998_8030208A0', '26967_803020290', '287977_822046E40', '0_803020330']",51372.94000000001,25
0_803890E70,5,"['13455_81234FF60', '1601_801E185B0', '117283_85215D980', '70_100428660', '0_803890E70']",302149.73999999993,38
